href,disease_type,keyword
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,Абсцесс молочный железы
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,"Гипоплазия (атрофия) молочной
                        железы"
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,"Гипоплазия (недоразвитие) молочной
                        железы"
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,Киста молочной железы
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,"Мастопатия молочной
                        железы"
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,"Микрокальцинаты молочных
                        желез"
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,"Некроз жировой ткани молочной
                        железы"
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,Опухоль молочной железы
https://bookinghealth.ru/clinics/treatment/mammalogy/germany,Маммология ,Рак молочной железы (Рак груди)
https://bookinghealth.ru/clinics/treatment/male-infertility/germany,Мужское бесплодие ,Erectile dysfunction
https://bookinghealth.ru/clinics/treatment/male-infertility/germany,Мужское бесплодие ,Женское бесплодие
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,"Боковой
                        амиотрофический склероз (БАС)"
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Болезнь Альцгеймера
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Болезнь Паркинсона
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Головокружение
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Диабетическая полиневропатия
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,"Заболевание
                        центральной нервной системы (ЦНС) неясной этиологии"
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Инсульт
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Менингит
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Менингоэнцефалит
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Миастения
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Мигрень (головная боль)
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,"Мышечная дистрофия
                        Дюшенна"
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Невралгия тройничного нерва
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Остеохондроз позвоночника
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Парез лицевого нерва
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Полиневропатия
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Радикулит
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Рассеянный склероз
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,"Синдром
                        Гийена-Барре"
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Синдром беспокойных ног
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Сирингомиелия
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Хорея Гентингтона
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Цереброваскулярная болезнь
https://bookinghealth.ru/clinics/treatment/neurology/germany,Неврология ,Эпилепсия
https://bookinghealth.ru/clinics/treatment/neurorehabilitation/germany,Нейрореабилитация ,"Нейрореабилитация (неврологическая
                        реабилитация)"
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Аденома гипофиза
https://bookinghealth.ru/clinics/treatment/neurosurgery/germany,Нейрохирургия ,Акромегалия
